FID,lon,lat,speed3,speed3_3
4377,121.08778,42.710415,-146.3921383,-146.3921383
4378,121.28133,42.68734,-146.5577883,-146.5577883
4379,121.474724,42.66399,-147.5288102,-147.5288102
4380,121.66803,42.64035,-149.2500352,-149.2500352
4381,121.8900658,42.90287509,-147.9614044,-147.9614044
4382,122.0829158,42.90727509,-147.7243582,-147.7243582
4383,122.2755358,42.91137509,-148.1340248,-148.1340248
4384,122.4680558,42.91515509,-147.8148966,-147.8148966
4385,109.89346,43.679234,-128.720983,-128.720983
4386,110.098915,43.67326,-128.3438858,-128.3438858
4387,110.294754,43.66698,-127.7164801,-127.7164801
4388,110.49218,43.660393,-127.2558192,-127.2558192
4389,110.68984,43.65349,-127.111849,-127.111849
4390,110.888016,43.64628,-127.0542782,-127.0542782
4391,111.08571,43.63875,-126.8973097,-126.8973097
4392,111.283745,43.63091,-126.7973621,-126.7973621
4393,111.481735,43.62277,-126.8069967,-126.8069967
4394,111.67958,43.614307,-126.9591455,-126.9591455
4395,111.87774,43.605534,-127.00356,-127.00356
4396,112.07575,43.596455,-126.9414524,-126.9414524
4397,112.27383,43.58706,-126.4708222,-126.4708222
4398,112.4718,43.577362,-125.5755632,-125.5755632
4399,112.66954,43.567352,-124.9565841,-124.9565841
4400,112.86738,43.55704,-124.5880491,-124.5880491
4401,113.0651,43.546402,-124.6201142,-124.6201142
4402,113.26297,43.535465,-124.9218875,-124.9218875
4403,113.46057,43.524223,-125.5054442,-125.5054442
4404,113.65827,43.512676,-126.7897018,-126.7897018
4405,113.856,43.50081,-126.3253945,-126.3253945
4406,114.05357,43.48864,-126.7556132,-126.7556132
4407,114.2511,43.476173,-128.1944217,-128.1944217
4408,114.44863,43.463387,-127.2932599,-127.2932599
4409,114.645874,43.450314,-127.7183334,-127.7183334
4410,114.843315,43.43692,-128.3802025,-128.3802025
4411,115.04057,43.42322,-130.6893764,-130.6893764
4412,115.2378,43.409225,64.30630144,64.30630144
4413,115.43499,43.394917,80.90972446,80.90972446
4414,115.63211,43.38031,149.9816351,149.9816351
4415,115.82918,43.36541,-174.9759277,-174.9759277
4416,116.02614,43.350197,-166.7092014,-166.7092014
4417,116.223,43.334675,-161.9878933,-161.9878933
4418,116.41977,43.318867,-158.8636037,-158.8636037
4419,116.61643,43.302757,-157.0848964,-157.0848964
4420,116.81303,43.28633,-155.4328313,-155.4328313
4421,117.00951,43.26962,-156.0979523,-156.0979523
4422,117.20593,43.252605,-158.482409,-158.482409
4423,117.40232,43.235287,-160.3209771,-160.3209771
4424,117.59854,43.217686,-160.8518653,-160.8518653
