lon,lat,uu01,vv01,speed,speed_1
111.4718,33.94793,0.67,0.02,1.710681287,1.710681287
111.64521,33.94547,1.08,0.01,0.530770395,0.530770395
111.81898,33.94277,1.91,0.02,0.600238175,0.600238175
111.99243,33.93981,2.8,0.02,0.409456185,0.409456185
112.165825,33.936607,3.28,0.02,0.34953738,0.34953738
112.33934,33.933163,4.09,0.02,0.280314835,0.280314835
112.512794,33.92947,5.2,0.03,0.330716566,0.330716566
112.68606,33.925533,7.34,0.03,0.23429641,0.23429641
112.85944,33.921345,7.3,0.04,0.314105573,0.314105573
113.03281,33.916916,6.38,0.05,0.449245041,0.449245041
113.20614,33.91223,5.11,0.06,0.673059177,0.673059177
113.379395,33.907307,5.04,0.08,0.9098417,0.9098417
113.55264,33.90214,4.89,0.09,1.054939313,1.054939313
113.725945,33.896732,4.84,0.1,1.184229046,1.184229046
113.89903,33.891068,4.94,0.1,1.160263413,1.160263413
114.07233,33.885166,4.78,0.1,1.199089537,1.199089537
114.245384,33.879013,4.68,0.11,1.347130698,1.347130698
114.41854,33.872616,4.26,0.12,1.614357343,1.614357343
114.59159,33.865982,3.6,0.12,1.910120783,1.910120783
114.76457,33.8591,3.48,0.12,1.975935726,1.975935726
114.93749,33.851967,3.32,0.08,1.381054209,1.381054209
115.110565,33.8446,2.18,0.07,1.840073662,1.840073662
115.28332,33.83698,1.65,0.08,2.777211377,2.777211377
115.45615,33.829124,1.45,0.09,3.553534846,3.553534846
115.628876,33.821022,1.03,0.09,4.996276885,4.996276885
115.80164,33.81268,0.65,0.09,7.887137759,7.887137759
115.97433,33.804085,0.6,0.08,7.598495482,7.598495482
116.14702,33.795254,0.12,0.06,26.57852536,26.57852536
116.31951,33.786182,0.04,0.03,36.88859859,36.88859859
116.49206,33.776867,0.02,0.01,26.57852536,26.57852536
116.664505,33.767307,0.01,0,0,0
117.87001,33.69365,0.01,0,0,0
118.04194,33.68217,0.02,0,0,0
118.21375,33.670444,0.02,0,0,0
118.38558,33.65848,0.02,0,0,0
118.55732,33.646286,0.03,0,0,0
118.728935,33.63384,0.03,0,0,0
118.900604,33.62117,0.04,0,0,0
119.07204,33.60825,0.07,0,0,0
119.243484,33.5951,0.14,0,0,0
119.4148,33.58171,0.16,0,0,0
119.586044,33.568085,0.28,0.02,4.087689064,4.087689064
119.757225,33.554226,0.36,0.02,3.181442976,3.181442976
119.92827,33.540134,0.36,0.03,4.766057879,4.766057879
120.09926,33.5258,0.28,0.03,6.118605438,6.118605438
120.270164,33.511223,0.19,0.02,6.012053813,6.012053813
120.441055,33.49642,0.11,0.02,10.31007324,10.31007324
120.61175,33.48138,0.09,0.02,12.5351625,12.5351625
120.78238,33.466114,0.05,0.02,21.81246748,21.81246748
120.952896,33.450607,0.04,0.02,26.57852536,26.57852536
121.12338,33.43487,0.03,0.01,18.4442993,18.4442993
121.29373,33.4189,0.01,0.01,45.02282465,45.02282465
121.463974,33.4027,0,0.01,90.04564931,90.04564931
121.63414,33.38626,0,0.01,90.04564931,90.04564931
123.16085,33.227985,1.5,0.07,2.673219802,2.673219802
123.32993,33.209255,2.74,0.12,2.50897367,2.50897367
123.49892,34.076893,2.93,0.32,6.236017599,6.236017599
107.47601,34.083584,2.22,0.21,5.406532242,5.406532242
107.6499,34.086563,2.22,0.22,5.662352412,5.662352412
107.82355,34.089287,2,0.2,5.713489633,5.713489633
107.997284,34.09177,1.87,0.17,5.197063597,5.197063597
108.17105,34.09401,1.73,0.15,4.957962416,4.957962416
108.34482,34.09599,1.52,0.12,4.516278018,4.516278018
108.518524,34.097717,1.38,0.13,5.384276651,5.384276651
108.69269,34.099213,1.23,0.12,5.575024104,5.575024104
108.86633,34.100456,0.48,0.14,16.26845212,16.26845212
109.04019,34.101444,0.63,0.13,11.66520642,11.66520642
109.21442,34.102192,0.95,0.12,7.202885194,7.202885194
109.387695,34.10269,1.02,0.11,6.158290334,6.158290334
109.5621,34.102932,0.98,0.1,5.829297235,5.829297235
109.736084,34.102943,1,0.06,3.43537195,3.43537195
109.90723,34.1027,1.12,0.05,2.557446595,2.557446595
110.08623,34.10221,1.12,0.05,2.557446595,2.557446595
110.25717,34.101475,1.11,0.03,1.548942947,1.548942947
110.43205,34.100494,0.93,0.03,1.848547401,1.848547401
110.60587,34.099266,0.76,0.03,2.261648471,2.261648471
110.77934,34.09779,0.67,0.03,2.565070593,2.565070593
110.95265,34.096066,0.74,0.02,1.548942947,1.548942947
111.126915,34.09409,0.79,0.02,1.450951862,1.450951862
111.30056,34.09187,1.04,0.02,1.102264917,1.102264917
111.47433,34.0894,2.44,0.03,0.704778104,0.704778104
111.64794,34.08668,3.95,0.02,0.290249878,0.290249878
