lon,lat,uu01,vv01,vv02
113.90585,34.028873,4.81,0.11,0.11
114.07929,34.022705,4.74,0.12,0.12
114.25271,34.01629,4.48,0.13,0.13
114.42607,34.00962,3.89,0.14,0.14
114.59947,34.002716,3.53,0.14,0.14
114.77278,33.99556,3.43,0.12,0.12
114.94606,33.98816,2.87,0.08,0.08
115.11922,33.98052,1.85,0.08,0.08
115.2924,33.972633,1.45,0.08,0.08
115.465546,33.964504,1.15,0.08,0.08
115.63862,33.956127,0.84,0.07,0.07
115.81164,33.947506,0.59,0.05,0.05
115.98452,33.938644,0.13,0.02,0.02
116.15747,33.92954,0.01,0.01,0.01
116.33042,33.920185,0,0,0
116.5031,33.9106,0,0,0
116.67592,33.90077,0,0,0
116.8486,33.89069,0,0,0
117.021194,33.88037,0,0,0
117.193726,33.86981,0,0,0
117.36629,33.859005,0,0,0
117.53875,33.847965,0,0,0
117.71111,33.83668,0,0,0
117.88335,33.82516,0,0,0
118.055595,33.813396,0,0,0
118.227776,33.80139,0.01,0,0
118.39983,33.78915,0.01,0,0
118.57188,33.776665,0.02,0,0
118.7438,33.763943,0.03,0,0
118.91571,33.75098,0.06,0,0
119.08747,33.73778,0.06,0,0
119.259125,33.724346,0.19,0,0
119.43076,33.71068,0.63,0,0
119.60227,33.696762,0.58,0.01,0.01
119.77379,33.682617,0.41,0.01,0.01
119.945114,33.668236,0.34,0.01,0.01
120.1164,33.65361,0.21,0.03,0.03
120.28752,33.638763,0.12,0.02,0.02
120.4587,33.62367,0.08,0.02,0.02
120.629684,33.608345,0.04,0.02,0.02
120.80064,33.59278,0.03,0.03,0.03
120.97141,33.57699,0.02,0.01,0.01
121.1422,33.560963,0,0.01,0.01
121.31279,33.544704,0,0.01,0.01
121.48331,33.528214,0,0,0
121.65372,33.511486,0,0,0
121.82403,33.49453,0,0,0
121.99427,33.47735,0,0,0
122.16441,33.45992,0,0,0
122.334404,33.442276,0,0,0
122.50433,33.424397,0,0,0
122.6741,33.406284,0,0,0
122.84386,33.38795,0,0,0
123.01343,33.369377,2.35,0.23,0.23
123.1829,33.35059,2.96,0.33,0.33
123.521515,34.220776,1.54,0.52,0.52
107.47159,34.224262,1.54,0.37,0.37
107.64557,34.2275,1.39,0.3,0.3
107.81967,34.230484,1.27,0.31,0.31
107.993774,34.23322,1.08,0.37,0.37
108.16794,34.235714,0.99,0.31,0.31
108.34201,34.23794,1.01,0.22,0.22
108.51575,34.23994,1.15,0.17,0.17
108.69046,34.241676,1.18,0.13,0.13
108.864075,34.24317,0.71,0.11,0.11
109.03854,34.244423,0.93,0.1,0.1
109.21292,34.245415,1.18,0.1,0.1
109.387054,34.246162,1.14,0.1,0.1
109.56076,34.246662,1.06,0.09,0.09
109.73459,34.246918,1.09,0.07,0.07
109.91153,34.246914,1.15,0.06,0.06
110.08393,34.246677,1.21,0.06,0.06
110.25793,34.24618,1.2,0.05,0.05
110.43296,34.245445,1.16,0.05,0.05
110.60652,34.244465,1.05,0.04,0.04
110.780594,34.24323,0.79,0.03,0.03
110.95429,34.241753,0.74,0.03,0.03
111.129,34.24002,0.8,0.02,0.02
111.303116,34.238037,1.72,0.02,0.02
111.47711,34.23581,4.11,0.04,0.04
111.65091,34.23333,4.07,0.04,0.04
111.82521,34.2306,3.53,0.04,0.04
111.99929,34.227623,1.89,0.03,0.03
112.17349,34.224403,1.94,0.02,0.02
112.34736,34.220932,2.47,0.02,0.02
112.52135,34.217216,5.35,0.02,0.02
112.69537,34.21324,7.63,0.02,0.02
112.869354,34.20903,7.69,0.03,0.03
113.04311,34.204563,7.29,0.04,0.04
113.21723,34.199852,6.83,0.05,0.05
113.391136,34.194893,6.43,0.07,0.07
113.56491,34.189686,6.36,0.1,0.1
113.73875,34.184235,6.13,0.11,0.11
113.91247,34.178535,5.55,0.11,0.11
114.0862,34.17259,5.3,0.12,0.12
114.260025,34.16639,4.94,0.13,0.13
114.43372,34.159958,4.1,0.14,0.14
114.6073,34.153267,3.67,0.14,0.14
114.78082,34.146336,3.56,0.13,0.13
114.95448,34.13916,3.07,0.08,0.08
115.127975,34.13173,2.09,0.07,0.07
115.30142,34.12406,1.56,0.06,0.06
115.4749,34.11615,1.23,0.06,0.06
115.64816,34.107983,0.85,0.04,0.04
115.82161,34.099583,0.28,0.02,0.02
115.9948,34.09093,0.02,0.01,0.01
116.16809,34.082035,0,0,0
116.34122,34.0729,0,0,0
116.514275,34.06352,0,0,0
116.6873,34.05389,0,0,0
116.86033,34.04403,0,0,0
117.033226,34.03391,0,0,0
117.20607,34.023556,0,0,0
117.37891,34.012962,0,0,0
117.5516,34.00212,0,0,0
117.724236,33.991043,0,0,0
117.89686,33.97971,0,0,0
118.06938,33.968147,0,0,0
118.24182,33.95634,0,0,0
118.41418,33.944298,0,0,0
118.58653,33.932014,0,0,0
118.75873,33.919483,0.01,0,0
118.93088,33.906715,0.02,0,0
119.102936,33.89371,0.03,0,0
119.2749,33.88047,0.09,0,0
119.446815,33.86698,0.19,0,0
119.61859,33.85326,0.22,0,0
119.79036,33.8393,0.48,0,0
119.962006,33.82511,0.36,0,0
120.13355,33.810673,0.22,0.01,0.01
120.305046,33.795998,0.1,0.02,0.02
120.47646,33.78109,0.05,0.02,0.02
120.64772,33.765945,0.04,0.02,0.02
120.818954,33.75057,0.03,0.03,0.03
120.98998,33.734955,0.01,0.01,0.01
121.161026,33.719112,0,0.01,0.01
121.331894,33.703022,0,0.01,0.01
121.50272,33.68671,0,0,0
121.67345,33.67016,0,0,0
121.844025,33.653374,0,0,0
122.01455,33.636356,0,0,0
122.18493,33.619106,0,0,0
122.355225,33.601627,0,0,0
122.52544,33.583916,0,0,0
122.695465,33.56598,0,0,0
122.86547,33.547806,0,0,0
123.03531,33.529408,2.4,0.37,0.37
123.20504,33.51077,2.26,0.65,0.65
123.3747,33.49191,1.37,0.69,0.69
107.467255,34.364666,1.26,0.41,0.41
107.641235,34.368156,1.13,0.39,0.39
107.81601,34.37141,0.62,0.33,0.33
107.990265,34.374405,0.5,0.37,0.37
108.16464,34.377155,0.39,0.39,0.39
108.33917,34.37965,0.79,0.47,0.47
108.5134,34.3819,1.15,0.48,0.48
108.687744,34.383896,1.32,0.32,0.32
108.86218,34.385647,1.44,0.22,0.22
109.03674,34.38714,1.47,0.13,0.13
109.211426,34.388397,1.25,0.1,0.1
109.38547,34.389393,1.16,0.1,0.1
109.56076,34.39014,1.11,0.09,0.09
109.73532,34.390636,1.16,0.12,0.12
109.90723,34.390884,1.18,0.12,0.12
110.07913,34.39089,1.18,0.1,0.1
110.25793,34.390656,1.1,0.06,0.06
110.43341,34.390163,1.11,0.06,0.06
110.60684,34.389423,1.04,0.05,0.05
110.78159,34.38844,0.73,0.06,0.06
110.95614,34.3872,0.67,0.06,0.06
111.13021,34.38572,0.9,0.08,0.08
111.30506,34.383976,2.12,0.07,0.07
111.47962,34.38198,3.62,0.07,0.07
111.654106,34.37975,3.91,0.06,0.06
111.828316,34.377266,3.41,0.05,0.05
112.002525,34.374527,1.41,0.04,0.04
112.177086,34.37154,1.31,0.04,0.04
112.35127,34.36831,1.6,0.03,0.03
112.52577,34.36482,3.2,0.04,0.04
112.70001,34.361084,6.78,0.04,0.04
112.87419,34.357105,8.01,0.04,0.04
113.048515,34.35287,7.98,0.04,0.04
113.22276,34.348396,7.94,0.05,0.05
113.39679,34.343666,7.62,0.07,0.07
113.57101,34.33869,7.51,0.09,0.09
113.74523,34.333466,6.96,0.1,0.1
113.91932,34.32799,6.32,0.1,0.1
114.09343,34.32227,5.98,0.11,0.11
114.26738,34.316303,5.75,0.12,0.12
114.441315,34.31009,4.92,0.13,0.13
114.61533,34.303627,4.07,0.14,0.14
114.78918,34.296913,3.94,0.13,0.13
114.96302,34.289955,3.61,0.08,0.08
115.13687,34.28275,2.34,0.05,0.05
115.31058,34.275303,1.62,0.04,0.04
115.48441,34.267605,1.25,0.03,0.03
115.65794,34.25966,0.47,0.01,0.01
115.831535,34.251472,0.04,0,0
116.00515,34.243034,0,0,0
116.1787,34.234356,0,0,0
116.352036,34.22543,0,0,0
116.5255,34.216263,0,0,0
116.69882,34.206844,0,0,0
116.87216,34.197186,0,0,0
117.04534,34.187283,0,0,0
