FID,lon,lat,uu01,vv01,speed,speed_1
336,119.437225,35.320812,0.01,0.02,63.46712395,63.46712395
337,119.61203,35.3071,0.01,0.01,45.02282465,45.02282465
338,119.78686,35.293125,0,0.01,90.04564931,90.04564931
339,119.96147,35.278915,0.01,0,0,0
340,120.13602,35.264458,0.01,0,0,0
341,120.310486,35.24976,0.01,0,0,0
342,120.48482,35.234802,0.01,0,0,0
343,120.659065,35.21961,0.01,0,0,0
344,120.83326,35.20417,0.01,0,0,0
345,122.56923,35.036423,3.88,0.4,5.888973292,5.888973292
346,109.90512,35.83082,6.85,0.21,1.756853624,1.756853624
347,110.08847,35.830822,6.95,0.14,1.154588843,1.154588843
348,110.26244,35.830578,5.38,0.08,0.852351171,0.852351171
349,110.440575,35.83005,3.11,0.06,1.105808299,1.105808299
350,110.61866,35.82928,3.58,0.06,0.960661581,0.960661581
351,110.79598,35.828255,3.15,0.04,0.727895363,0.727895363
352,110.973175,35.826958,3.42,0.02,0.335229166,0.335229166
353,111.150635,35.82541,4.99,0.02,0.229757651,0.229757651
354,111.328545,35.823597,4.39,0.02,0.261159199,0.261159199
355,111.505714,35.82153,3.69,0.02,0.310700702,0.310700702
356,111.68319,35.819206,1.47,0.02,0.779881688,0.779881688
357,111.860886,35.816628,0.69,0.03,2.490815659,2.490815659
358,112.03846,35.81378,1.61,0.05,1.779702549,1.779702549
359,112.215675,35.810688,3.49,0.13,2.134322489,2.134322489
360,112.39319,35.807335,6.86,0.21,1.754294212,1.754294212
361,112.57047,35.80372,9.87,0.32,1.857905336,1.857905336
362,112.74809,35.79985,11.49,0.29,1.446533957,1.446533957
363,112.9253,35.795715,11.85,0.25,1.209205448,1.209205448
364,113.102745,35.791332,13.06,0.14,0.61448471,0.61448471
365,113.28003,35.786686,13.35,0.02,0.085879847,0.085879847
366,113.45718,35.78179,12.53,0,0,0
367,113.63438,35.776634,10.12,0.01,0.056645081,0.056645081
368,113.811775,35.771217,8.16,0.02,0.140501779,0.140501779
369,113.989,35.76554,1.81,0.02,0.633397877,0.633397877
370,114.16603,35.759613,0.2,0,0,0
371,114.343124,35.75343,0.02,0,0,0
372,118.576965,35.528603,0.13,0,0,0
373,118.75253,35.51608,0.09,0,0,0
374,118.928024,35.503307,0.03,0.03,45.02282465,45.02282465
375,119.103455,35.490284,0.02,0.03,56.33849369,56.33849369
376,119.27873,35.477013,0.01,0.02,63.46712395,63.46712395
377,119.45395,35.4635,0.01,0.01,45.02282465,45.02282465
378,119.62905,35.44973,0.01,0.01,45.02282465,45.02282465
379,119.80412,35.43571,0.01,0,0,0
380,119.979065,35.421448,0.01,0,0,0
381,120.15394,35.40694,0.01,0,0,0
382,120.32869,35.39219,0.01,0,0,0
383,120.50336,35.377182,0.01,0,0,0
384,120.67792,35.361935,0.01,0,0,0
385,120.85236,35.34644,0.01,0,0,0
386,122.59122,35.17811,2.58,0.57,12.46456544,12.46456544
387,109.90512,35.9748,5.01,0.12,1.372787594,1.372787594
388,110.08847,35.974545,5.25,0.08,0.873453782,0.873453782
389,110.26318,35.97403,3.14,0.06,1.095245835,1.095245835
390,110.4419,35.973255,3.26,0.05,0.879146418,0.879146418
391,110.619286,35.972214,2.96,0.03,0.580975116,0.580975116
392,110.79697,35.97092,2.53,0.02,0.453151357,0.453151357
393,110.974785,35.96936,4.92,0.02,0.233026524,0.233026524
394,111.15318,35.96755,3.96,0.03,0.434270789,0.434270789
395,111.3309,35.965473,1.08,0.03,1.591947321,1.591947321
396,111.5087,35.963146,0.3,0.02,3.816009388,3.816009388
397,111.68644,35.96055,0.18,0.03,9.467121635,9.467121635
398,111.86425,35.957703,0.53,0.06,6.462092384,6.462092384
399,112.04211,35.95459,3.66,0.11,1.722359261,1.722359261
400,112.21982,35.95122,6.95,0.17,1.401910801,1.401910801
401,112.397514,35.9476,12.89,0.31,1.378376704,1.378376704
402,112.575195,35.943714,11.35,0.3,1.514841321,1.514841321
403,112.75293,35.939568,10.61,0.25,1.3504768,1.3504768
404,112.93065,35.93517,11.47,0.1,0.49976799,0.49976799
405,113.10816,35.930508,11.27,0,0,0
406,113.28593,35.92559,7.93,0,0,0
407,113.46357,35.92041,2.05,0,0,0
408,113.64116,35.914974,0.02,0,0,0
409,118.06427,35.695885,0.09,0,0,0
410,118.24032,35.68382,0.19,0,0,0
411,118.41634,35.6715,0.14,0,0,0
412,118.592316,35.65894,0.04,0.03,36.88859859,36.88859859
413,118.76812,35.646114,0.02,0.04,63.46712395,63.46712395
414,118.94392,35.633053,0.02,0.03,56.33849369,56.33849369
415,119.11958,35.61973,0.01,0.01,45.02282465,45.02282465
416,119.29526,35.606167,0.01,0,0,0
417,119.47073,35.592354,0.01,0,0,0
418,119.646126,35.57829,0.01,0,0,0
419,119.82152,35.563976,0.01,0,0,0
420,119.99677,35.549416,0.01,0,0,0
421,120.1719,35.534607,0.01,0,0,0
422,120.34696,35.519558,0.01,0,0,0
423,120.52193,35.504253,0.01,0,0,0
424,120.69683,35.4887,0.01,0,0,0
425,121.39526,35.424057,0,0.03,90.04564931,90.04564931
426,122.439705,35.31978,1.08,0.56,27.42147696,27.42147696
427,122.613396,35.30155,2.77,0.55,11.23605125,11.23605125
428,109.90512,36.11877,3.52,0.08,1.302613042,1.302613042
429,110.09065,36.11852,3.15,0.05,0.9098417,0.9098417
430,110.26393,36.118,3,0.03,0.573229301,0.573229301
431,110.442345,36.117214,2.86,0.02,0.400866478,0.400866478
432,110.62055,36.116177,2.83,0.02,0.405115805,0.405115805
433,110.79868,36.11488,3.88,0.02,0.295486253,0.295486253
434,110.97679,36.11331,4.52,0.03,0.38046902,0.38046902
435,111.15488,36.111496,3.96,0.03,0.434270789,0.434270789
436,111.332954,36.109417,1.11,0.03,1.548942947,1.548942947
437,111.51129,36.107075,0.65,0.03,2.643885631,2.643885631
438,111.68934,36.104473,0.97,0.06,3.541354484,3.541354484
439,111.86771,36.101612,2.3,0.1,2.490815659,2.490815659
440,112.04565,36.098495,4.8,0.17,2.029406539,2.029406539
441,112.223785,36.095116,12.39,0.25,1.156518625,1.156518625
442,112.402,36.091473,10.82,0.3,1.589006228,1.589006228
443,112.58013,36.087578,10.1,0.21,1.191730917,1.191730917
444,112.757904,36.08342,6.79,0.05,0.422119327,0.422119327
445,112.93578,36.078995,3.53,0,0,0
446,113.11395,36.07432,0.91,0,0,0
447,113.29194,36.06939,0.01,0,0,0
448,117.01868,35.906197,0.01,0,0,0
449,117.19547,35.895607,0.05,0,0,0
450,117.37225,35.88477,0.18,0,0,0
451,117.54894,35.87367,0.28,0,0,0
452,117.72561,35.86232,0.31,0,0,0
453,117.902176,35.85072,0.32,0,0,0
454,118.07857,35.838867,0.23,0,0,0
455,118.25503,35.82676,0.08,0.03,20.56647154,20.56647154
456,118.43143,35.814396,0.03,0.05,59.06618751,59.06618751
457,118.60762,35.80179,0.02,0.03,56.33849369,56.33849369
458,118.78378,35.78893,0.02,0.02,45.02282465,45.02282465
459,119.1359,35.76245,0.01,0,0,0
460,119.31178,35.748837,0.01,0,0,0
461,119.48768,35.73497,0.01,0,0,0
462,119.663376,35.72086,0.01,0,0,0
463,119.83898,35.706493,0.01,0,0,0
464,120.01454,35.691883,0.01,0,0,0
465,120.19,35.67702,0.01,0,0,0
466,120.36535,35.661915,0.01,0,0,0
467,120.54065,35.64656,0.01,0,0,0
468,121.2407,35.582676,0,0.03,90.04564931,90.04564931
469,122.287575,35.479496,0.7,0.55,38.17658049,38.17658049
470,122.46164,35.46144,1.14,0.49,23.27101836,23.27101836
471,122.63561,35.443157,2.12,0.41,10.95121084,10.95121084
