FID,lon,lat,pm02,pm02_1
2363,113.25173,39.32928,8.73,8.73
2364,113.43741,39.32168,7.13,7.13
2365,113.62337,39.313805,6.26,6.26
2366,113.808945,39.30564,5.52,5.52
2367,113.994736,39.297203,4.6,4.6
2368,114.1803,39.288498,3.93,3.93
2369,114.365746,39.2795,3.69,3.69
2370,114.5514,39.27023,3.57,3.57
2371,114.73694,39.26068,3.44,3.44
2372,114.922356,39.25085,3.25,3.25
2373,115.1078,39.24075,3,3
2374,115.292984,39.230373,2.93,2.93
2375,115.47833,39.219715,2.89,2.89
2376,115.66355,39.208782,2.64,2.64
2377,115.84865,39.197575,2.84,2.84
2378,116.033714,39.18609,2.68,2.68
2379,116.21874,39.174328,1.98,1.98
2380,116.40368,39.162296,1.86,1.86
2381,116.58854,39.149982,1.68,1.68
2382,116.77332,39.1374,1.58,1.58
2383,116.95808,39.124546,1.58,1.58
2384,117.14271,39.111412,1.59,1.59
2385,117.32729,39.098015,1.61,1.61
2386,117.51176,39.08434,1.63,1.63
2387,117.69621,39.07039,1.65,1.65
2388,117.880486,39.056168,1.7,1.7
2389,118.06473,39.041683,1.76,1.76
2390,118.24892,39.026913,1.83,1.83
2391,118.43297,39.011883,1.95,1.95
2392,118.61699,38.996586,2.09,2.09
2393,118.800835,38.98101,2.02,2.02
2394,118.984634,38.96517,8.67,8.67
2395,119.16835,38.949062,9.76,9.76
2396,119.35192,38.932693,11.33,11.33
2397,119.535416,38.916042,12.65,12.65
2398,119.71882,38.899136,14.52,14.52
2399,119.90207,38.88195,16.79,16.79
2400,120.085266,38.864513,18.92,18.92
2401,120.268364,38.846798,18.7,18.7
2402,120.4513,38.828827,17.68,17.68
2403,120.634125,38.81059,15.64,15.64
2404,120.81688,38.792084,15.49,15.49
2405,120.99951,38.773315,15.72,15.72
2406,121.18204,38.75429,15.39,15.39
2407,121.3644,38.734997,13.72,13.72
2408,121.54671,38.715435,12.75,12.75
2409,121.7288,38.695625,11.46,11.46
2410,121.9108,38.675556,10.35,10.35
2411,122.09272,38.655216,9.42,9.42
2412,122.27449,38.634624,9.32,9.32
2413,122.45615,38.61377,9.78,9.78
2414,122.63761,38.592655,9.87,9.87
2415,122.613446,38.8295965,8.6,8.6
2416,109.90109,39.559227,29.85,29.85
2417,110.08847,39.556393,34.52,34.52
2418,110.276245,39.553288,39.96,39.96
2419,110.46182,39.54989,50.41,50.41
2420,110.649216,39.546207,38,38
2421,110.83603,39.542255,36.72,36.72
2422,111.02202,39.538006,36.31,36.31
2423,111.20853,39.533474,37.2,37.2
2424,111.39522,39.528664,34.6,34.6
2425,111.58165,39.523575,34.5,34.5
2426,111.76791,39.518196,34.97,34.97
2427,111.954346,39.512543,31.12,31.12
2428,112.14074,39.5066,26.74,26.74
2429,112.32667,39.50038,22.87,22.87
