lon,lat,pm01,pm02
107.467255,34.364666,40.38,40.38
107.641235,34.368156,67.12,67.12
107.81601,34.37141,87.85,87.85
107.990265,34.374405,93.3,93.3
108.16464,34.377155,84.33,84.33
108.33917,34.37965,36.96,36.96
108.5134,34.3819,28.75,28.75
108.687744,34.383896,16.95,16.95
108.86218,34.385647,13.42,13.42
109.03674,34.38714,11.4,11.4
109.211426,34.388397,11.24,11.24
109.38547,34.389393,10.96,10.96
109.56076,34.39014,10.26,10.26
109.73532,34.390636,9.86,9.86
109.90723,34.390884,9.65,9.65
110.07913,34.39089,9.18,9.18
110.25793,34.390656,8.87,8.87
110.43341,34.390163,10.44,10.44
110.60684,34.389423,12.35,12.35
110.78159,34.38844,14.5,14.5
110.95614,34.3872,17.34,17.34
111.13021,34.38572,18.36,18.36
111.30506,34.383976,22.31,22.31
111.47962,34.38198,24.95,24.95
111.654106,34.37975,24.42,24.42
111.828316,34.377266,24.59,24.59
112.002525,34.374527,24.18,24.18
112.177086,34.37154,22.31,22.31
112.35127,34.36831,25.33,25.33
112.52577,34.36482,34.31,34.31
112.70001,34.361084,36,36
112.87419,34.357105,34.35,34.35
113.048515,34.35287,31.89,31.89
113.22276,34.348396,35.96,35.96
113.39679,34.343666,34.05,34.05
113.57101,34.33869,28.62,28.62
113.74523,34.333466,23.86,23.86
113.91932,34.32799,21.16,21.16
114.09343,34.32227,18.72,18.72
114.26738,34.316303,16.61,16.61
114.441315,34.31009,15.89,15.89
114.61533,34.303627,15.48,15.48
114.78918,34.296913,15.07,15.07
114.96302,34.289955,13.64,13.64
115.13687,34.28275,12.21,12.21
115.31058,34.275303,12.57,12.57
115.48441,34.267605,12.9,12.9
115.65794,34.25966,12.45,12.45
115.831535,34.251472,14.85,14.85
116.00515,34.243034,17.75,17.75
116.1787,34.234356,29.34,29.34
116.352036,34.22543,22.93,22.93
116.5255,34.216263,18.15,18.15
116.69882,34.206844,16.91,16.91
116.87216,34.197186,17.63,17.63
117.04534,34.187283,16.31,16.31
117.218445,34.17713,15.5,15.5
117.39158,34.166744,15.95,15.95
117.56455,34.15611,18.57,18.57
117.73752,34.14523,19.85,19.85
117.91044,34.134106,21.41,21.41
118.08318,34.12274,22.3,22.3
118.25598,34.111137,22.14,22.14
118.428635,34.09929,20.46,20.46
118.60116,34.0872,17.93,17.93
118.7737,34.074875,18.64,18.64
118.94616,34.062298,17.77,17.77
119.118484,34.049488,20.73,20.73
119.29073,34.036438,24.28,24.28
119.46295,34.023144,22.37,22.37
119.635056,34.009613,19.73,19.73
119.80705,33.995846,19.15,19.15
119.97899,33.98184,16.05,16.05
120.150856,33.96759,11.04,11.04
120.32263,33.953102,6.97,6.97
120.49427,33.938385,6.15,6.15
120.66583,33.923424,5.21,5.21
120.83731,33.908226,2.8,2.8
121.008675,33.892796,1.34,1.34
121.179955,33.87713,1.15,1.15
121.35119,33.86122,1.03,1.03
121.52228,33.845074,0.72,0.72
121.69323,33.82871,0.57,0.57
121.86414,33.8121,0.57,0.57
122.034904,33.795254,0.71,0.71
122.20559,33.77818,0.8,0.8
122.376175,33.76087,1.05,1.05
122.5466,33.74333,1.24,1.24
122.71694,33.72556,1.26,1.26
122.88717,33.707558,1.25,1.25
123.057335,33.68932,18.29,18.29
123.227325,33.67085,17.58,17.58
123.397224,33.652157,16.71,16.71
123.567024,33.63323,27.85,27.85
107.63742,34.508556,43.22,43.22
107.812225,34.512062,43.63,43.63
107.98685,34.51532,37.75,37.75
108.16165,34.518333,32.99,32.99
108.33621,34.521088,26.76,26.76
108.51062,34.523598,25.58,25.58
108.68567,34.52585,23.04,23.04
108.86014,34.52786,22.03,22.03
109.03491,34.529617,20,20
109.20969,34.531113,16.23,16.23
109.38483,34.53237,12.38,12.38
109.559875,34.53337,13.22,13.22
