FID,lon,lat,pm03
731,114.00326,36.04706,4.31
732,114.181,36.040825,4.04
733,114.35879,36.03434,3.95
734,114.53639,36.027596,3.89
735,114.71402,36.02059,3.5
736,114.89165,36.01333,2.79
737,115.0693,36.005814,2.22
738,115.246735,35.998035,1.98
739,115.42423,35.990005,1.89
740,115.60155,35.981712,1.86
741,115.7789,35.97317,1.74
742,115.956184,35.964367,1.4
743,116.133354,35.955315,1.3
744,116.3106,35.946003,1.37
745,116.4877,35.936428,1.32
746,116.66477,35.92661,1.22
747,116.8417,35.91653,1.17
748,117.01868,35.906197,1.17
749,117.19547,35.895607,1.24
750,117.37225,35.88477,1.53
751,117.54894,35.87367,1.96
752,117.72561,35.86232,2.17
753,117.902176,35.85072,2.22
754,118.07857,35.838867,2.08
755,118.25503,35.82676,1.05
756,118.43143,35.814396,0.4
757,118.60762,35.80179,0.26
758,118.78378,35.78893,0.17
759,118.95987,35.775814,0.16
760,119.1359,35.76245,0.18
761,119.31178,35.748837,0.21
762,119.48768,35.73497,0.25
763,119.663376,35.72086,0.3
764,119.83898,35.706493,0.35
765,120.01454,35.691883,0.4
766,120.19,35.67702,0.46
767,120.36535,35.661915,0.55
768,120.54065,35.64656,0.6
769,120.71582,35.63096,0.67
770,120.89082,35.615105,0.73
771,121.06581,35.59901,0.8
772,121.2407,35.582676,0.91
773,121.415436,35.566086,1.02
774,121.59004,35.549255,1.16
775,121.76463,35.53218,1.31
776,121.93904,35.514862,1.48
777,122.113335,35.497295,1.58
778,122.287575,35.479496,5.83
779,122.46164,35.46144,5.93
780,122.63561,35.443157,6.79
781,109.90512,36.262737,4.45
782,110.08847,36.262478,4.83
783,110.26541,36.261963,4.87
784,110.44367,36.26118,4.88
785,110.621185,36.260136,4.9
786,110.79991,36.25884,5.22
787,110.97799,36.257267,5.49
788,111.15742,36.25544,5.8
789,111.33545,36.253353,5.92
790,111.51388,36.251003,8.71
791,111.69247,36.24839,9.65
792,111.87074,36.24552,10.98
793,112.04957,36.24239,11.15
794,112.228004,36.238995,9.88
795,112.40615,36.235348,8.42
796,112.584526,36.23143,7.61
797,112.76308,36.227257,6.49
798,112.941246,36.222824,5.55
